L T,R T,L T-1,R T-1,L T-2,R T-2,L T-3,R T-3,L T-4,R T-4,L T-5,R T-5,L T-6,R T-6,L T-7,R T-7,L T-8,R T-8,L T-9,R T-9,class
0.955618934,0.520805612,0.913500278,0.491188737,0.913500278,0.491188737,1,0.539268774,0.962307385,0.547907693,0.95923292,0.569616222,0.95923292,0.569616222,0.923076923,0.585408151,0.879296844,0.541911545,0.840279886,0.541911545,real
0.913500278,0.491188737,0.913500278,0.491188737,1,0.539268774,0.962307385,0.547907693,0.95923292,0.569616222,0.95923292,0.569616222,0.923076923,0.585408151,0.879296844,0.541911545,0.840279886,0.541911545,0.840279886,0.541911545,real
0.913500278,0.491188737,1,0.539268774,0.962307385,0.547907693,0.95923292,0.569616222,0.95923292,0.569616222,0.923076923,0.585408151,0.879296844,0.541911545,0.840279886,0.541911545,0.840279886,0.541911545,1,0.493076376,real
1,0.539268774,0.962307385,0.547907693,0.95923292,0.569616222,0.95923292,0.569616222,0.923076923,0.585408151,0.879296844,0.541911545,0.840279886,0.541911545,0.840279886,0.541911545,1,0.493076376,0.956996125,0.477752198,real
0.962307385,0.547907693,0.95923292,0.569616222,0.95923292,0.569616222,0.923076923,0.585408151,0.879296844,0.541911545,0.840279886,0.541911545,0.840279886,0.541911545,1,0.493076376,0.956996125,0.477752198,0.959559647,0.537867372,real
0.95923292,0.569616222,0.95923292,0.569616222,0.923076923,0.585408151,0.879296844,0.541911545,0.840279886,0.541911545,0.840279886,0.541911545,1,0.493076376,0.956996125,0.477752198,0.959559647,0.537867372,0.959559647,0.537867372,real
0.95923292,0.569616222,0.923076923,0.585408151,0.879296844,0.541911545,0.840279886,0.541911545,0.840279886,0.541911545,1,0.493076376,0.956996125,0.477752198,0.959559647,0.537867372,0.959559647,0.537867372,0.996545758,0.544818338,real
0.923076923,0.585408151,0.879296844,0.541911545,0.840279886,0.541911545,0.840279886,0.541911545,1,0.493076376,0.956996125,0.477752198,0.959559647,0.537867372,0.959559647,0.537867372,0.996545758,0.544818338,0.95923292,0.520805612,real
0.879296844,0.541911545,0.840279886,0.541911545,0.840279886,0.541911545,1,0.493076376,0.956996125,0.477752198,0.959559647,0.537867372,0.959559647,0.537867372,0.996545758,0.544818338,0.95923292,0.520805612,0.965146025,0.571667844,real
0.840279886,0.541911545,0.840279886,0.541911545,1,0.493076376,0.956996125,0.477752198,0.959559647,0.537867372,0.959559647,0.537867372,0.996545758,0.544818338,0.95923292,0.520805612,0.965146025,0.571667844,0.965146025,0.571667844,real
0.840279886,0.541911545,1,0.493076376,0.956996125,0.477752198,0.959559647,0.537867372,0.959559647,0.537867372,0.996545758,0.544818338,0.95923292,0.520805612,0.965146025,0.571667844,0.965146025,0.571667844,0.923076923,0.544818338,real
1,0.493076376,0.956996125,0.477752198,0.959559647,0.537867372,0.959559647,0.537867372,0.996545758,0.544818338,0.95923292,0.520805612,0.965146025,0.571667844,0.965146025,0.571667844,0.923076923,0.544818338,0.962307385,0.569616222,real
0.956996125,0.477752198,0.959559647,0.537867372,0.959559647,0.537867372,0.996545758,0.544818338,0.95923292,0.520805612,0.965146025,0.571667844,0.965146025,0.571667844,0.923076923,0.544818338,0.962307385,0.569616222,0.95923292,0.552408037,real
0.959559647,0.537867372,0.959559647,0.537867372,0.996545758,0.544818338,0.95923292,0.520805612,0.965146025,0.571667844,0.965146025,0.571667844,0.923076923,0.544818338,0.962307385,0.569616222,0.95923292,0.552408037,0.95923292,0.552408037,real
